file,change_type,original,replacement
dags\src\airflow.py,import,from src.download_data import ingest_data,from module_l2_001 import data_loader_func_002
dags\src\airflow.py,import,from src.unzip_data import unzip_file,from module_l2_002 import data_loader_func_003
dags\src\airflow.py,import,from src.data_loader import load_data,from module_l2_003 import data_loader_func_001
dags\src\airflow.py,import,from src.missing_values_handler import handle_missing,from module_l2_004 import data_cleaning_func_003
dags\src\airflow.py,import,from src.duplicates_handler import remove_duplicates,from module_l2_005 import data_cleaning_func_002
dags\src\airflow.py,import,from src.transaction_status_handler import handle_transactio,from module_l2_006 import data_cleaning_func_006
dags\src\airflow.py,import,from src.anomaly_code_handler import handle_anomalous_codes,from module_l2_007 import data_cleaning_func_001
dags\src\airflow.py,import,from src.cleaning_description import cleaning_description,from module_l2_008 import utility_func_001
dags\src\airflow.py,import,from src.removing_zero_unitprice import removing_zero,from module_l2_009 import data_cleaning_func_005
dags\src\airflow.py,import,from src.rfm import rfm,from module_l2_010 import feature_engineering_func_004
dags\src\airflow.py,import,from src.unique_products import unique_products,from module_l2_011 import feature_engineering_func_006
dags\src\airflow.py,import,from src.customers_behavior import customers_behavior,from module_l2_012 import feature_engineering_func_002
dags\src\airflow.py,import,from src.geographic_features import geographic_features,from module_l2_013 import feature_engineering_func_003
dags\src\airflow.py,import,from src.cancellation_details import cancellation_details,from module_l2_014 import feature_engineering_func_001
dags\src\airflow.py,import,from src.seasonality import seasonality_impacts,from module_l2_015 import feature_engineering_func_005
dags\src\airflow.py,import,from src.outlier_treatment import removing_outlier,from module_l2_016 import data_cleaning_func_004
dags\src\airflow.py,import,from src.scaler import scaler,from module_l2_017 import ml_model_func_003
dags\src\airflow.py,import,from src.pca import pc_analyzer,from module_l2_018 import ml_model_func_001
dags\src\airflow.py,import,from src.correlation import correlation_check,from module_l2_019 import analysis_func_001
dags\src\airflow.py,standalone_identifier,handle_transaction_status,data_cleaning_func_006
dags\src\airflow.py,standalone_identifier,handle_anomalous_codes,data_cleaning_func_001
dags\src\airflow.py,standalone_identifier,cancellation_details,feature_engineering_func_001
dags\src\airflow.py,standalone_identifier,cleaning_description,utility_func_001
dags\src\airflow.py,standalone_identifier,geographic_features,feature_engineering_func_003
dags\src\airflow.py,standalone_identifier,seasonality_impacts,feature_engineering_func_005
dags\src\airflow.py,standalone_identifier,customers_behavior,feature_engineering_func_002
dags\src\airflow.py,standalone_identifier,correlation_check,analysis_func_001
dags\src\airflow.py,standalone_identifier,remove_duplicates,data_cleaning_func_002
dags\src\airflow.py,standalone_identifier,removing_outlier,data_cleaning_func_004
dags\src\airflow.py,standalone_identifier,unique_products,feature_engineering_func_006
dags\src\airflow.py,standalone_identifier,handle_missing,data_cleaning_func_003
dags\src\airflow.py,standalone_identifier,removing_zero,data_cleaning_func_005
dags\src\airflow.py,standalone_identifier,ingest_data,data_loader_func_002
dags\src\airflow.py,standalone_identifier,pc_analyzer,ml_model_func_001
dags\src\airflow.py,standalone_identifier,unzip_file,data_loader_func_003
dags\src\airflow.py,standalone_identifier,load_data,data_loader_func_001
dags\src\airflow.py,standalone_identifier,scaler,ml_model_func_003
dags\src\airflow.py,standalone_identifier,rfm,feature_engineering_func_004
dags\src\airflow.py,parameter,excel_path,param_012
dags\src\airflow.py,parameter,in_path,param_006
dags\src\airflow.py,url,url,[URL]
dags\src\anomaly_code_handler.py,function_def,handle_anomalous_codes,data_cleaning_func_001
dags\src\anomaly_code_handler.py,parameter,output_pickle_path,param_002
dags\src\anomaly_code_handler.py,parameter,input_pickle_path,param_001
dags\src\anomaly_code_handler.py,parameter,project,param_035
dags\src\cancellation_details.py,function_def,cancellation_details,feature_engineering_func_001
dags\src\cancellation_details.py,standalone_identifier,cancellation_details,feature_engineering_func_001
dags\src\cancellation_details.py,standalone_identifier,geographic_features,feature_engineering_func_003
dags\src\cancellation_details.py,parameter,geographic_pickle_file,param_004
dags\src\cancellation_details.py,parameter,output_pickle_path,param_002
dags\src\cancellation_details.py,parameter,output_pickle_file,param_005
dags\src\cancellation_details.py,parameter,input_pickle_path,param_001
dags\src\cancellation_details.py,parameter,input_pickle_file,param_003
dags\src\cancellation_details.py,parameter,customer_data,param_057
dags\src\cleaning_description.py,function_def,cleaning_description,utility_func_001
dags\src\cleaning_description.py,parameter,output_pickle_path,param_002
dags\src\cleaning_description.py,parameter,input_pickle_path,param_001
dags\src\cleaning_description.py,parameter,project,param_035
dags\src\correlation.py,import,from prompt_toolkit.shortcuts import yes_no_dialog,from module_l2_020 import yes_no_dialog
dags\src\correlation.py,function_def,save_correlations_as_parquet,data_saver_func_002
dags\src\correlation.py,function_def,correlation_check,analysis_func_001
dags\src\correlation.py,function_def,save_heatmap,data_saver_func_001
dags\src\correlation.py,function_call,save_correlations_as_parquet,data_saver_func_002
dags\src\correlation.py,function_call,save_heatmap,data_saver_func_001
dags\src\correlation.py,parameter,correlation_threshold,param_008
dags\src\correlation.py,parameter,cvr_thresh,param_016
dags\src\correlation.py,parameter,drop_cols,param_015
dags\src\correlation.py,parameter,out_path,param_007
dags\src\correlation.py,parameter,location,param_038
dags\src\correlation.py,parameter,in_path,param_006
dags\src\correlation.py,parameter,figsize,param_048
dags\src\correlation.py,parameter,fig,param_009
dags\src\customers_behavior.py,function_def,customers_behavior,feature_engineering_func_002
dags\src\customers_behavior.py,standalone_identifier,customers_behavior,feature_engineering_func_002
dags\src\customers_behavior.py,standalone_identifier,unique_products,feature_engineering_func_006
dags\src\customers_behavior.py,parameter,output_pickle_path,param_002
dags\src\customers_behavior.py,parameter,output_pickle_file,param_005
dags\src\customers_behavior.py,parameter,unique_pickle_file,param_010
dags\src\customers_behavior.py,parameter,input_pickle_path,param_001
dags\src\customers_behavior.py,parameter,input_pickle_file,param_003
dags\src\customers_behavior.py,parameter,customer_data,param_057
dags\src\data_loader.py,function_def,load_data,data_loader_func_001
dags\src\data_loader.py,parameter,pickle_path,param_011
dags\src\data_loader.py,parameter,excel_path,param_012
dags\src\data_loader.py,parameter,project,param_035
dags\src\download_data.py,function_def,ingest_data,data_loader_func_002
dags\src\download_data.py,function_call,ingest_data,data_loader_func_002
dags\src\download_data.py,parameter,file_url,param_013
dags\src\download_data.py,url,url,[URL]
dags\src\duplicates_handler.py,function_def,remove_duplicates,data_cleaning_func_002
dags\src\duplicates_handler.py,parameter,output_pickle_path,param_002
dags\src\duplicates_handler.py,parameter,input_pickle_path,param_001
dags\src\duplicates_handler.py,parameter,project,param_035
dags\src\geographic_features.py,function_def,geographic_features,feature_engineering_func_003
dags\src\geographic_features.py,standalone_identifier,geographic_features,feature_engineering_func_003
dags\src\geographic_features.py,standalone_identifier,customers_behavior,feature_engineering_func_002
dags\src\geographic_features.py,parameter,behavorial_pickle_file,param_014
dags\src\geographic_features.py,parameter,output_pickle_path,param_002
dags\src\geographic_features.py,parameter,output_pickle_file,param_005
dags\src\geographic_features.py,parameter,input_pickle_path,param_001
dags\src\geographic_features.py,parameter,input_pickle_file,param_003
dags\src\geographic_features.py,parameter,customer_data,param_057
dags\src\missing_values_handler.py,function_def,handle_missing,data_cleaning_func_003
dags\src\missing_values_handler.py,parameter,output_pickle_path,param_002
dags\src\missing_values_handler.py,parameter,input_pickle_path,param_001
dags\src\missing_values_handler.py,parameter,project,param_035
dags\src\outlier_treatment.py,function_def,removing_outlier,data_cleaning_func_004
dags\src\outlier_treatment.py,parameter,output_pickle_path,param_002
dags\src\outlier_treatment.py,parameter,input_pickle_path,param_001
dags\src\outlier_treatment.py,parameter,df_cleaned,param_060
dags\src\outlier_treatment.py,parameter,project,param_035
dags\src\outlier_treatment.py,parameter,model,param_034
dags\src\pca.py,import,from prompt_toolkit.shortcuts import yes_no_dialog,from module_l2_020 import yes_no_dialog
dags\src\pca.py,function_def,pc_analyzer,ml_model_func_001
dags\src\pca.py,function_def,pca_,ml_model_func_002
dags\src\pca.py,function_call,pca_,ml_model_func_002
dags\src\pca.py,parameter,cvr_thresh,param_016
dags\src\pca.py,parameter,drop_cols,param_015
dags\src\pca.py,parameter,out_path,param_007
dags\src\pca.py,parameter,in_path,param_006
dags\src\pca.py,parameter,thresh,param_017
dags\src\removing_zero_unitprice.py,function_def,removing_zero,data_cleaning_func_005
dags\src\removing_zero_unitprice.py,parameter,output_pickle_path,param_002
dags\src\removing_zero_unitprice.py,parameter,input_pickle_path,param_001
dags\src\removing_zero_unitprice.py,parameter,project,param_035
dags\src\rfm.py,function_def,rfm,feature_engineering_func_004
dags\src\rfm.py,parameter,output_pickle_path,param_002
dags\src\rfm.py,parameter,output_pickle_file,param_005
dags\src\rfm.py,parameter,input_pickle_path,param_001
dags\src\rfm.py,parameter,input_pickle_file,param_003
dags\src\rfm.py,parameter,customer_data,param_057
dags\src\scaler.py,import,from prompt_toolkit.shortcuts import yes_no_dialog,from module_l2_020 import yes_no_dialog
dags\src\scaler.py,function_def,scaler,ml_model_func_003
dags\src\scaler.py,standalone_identifier,scaler,ml_model_func_003
dags\src\scaler.py,parameter,out_path,param_007
dags\src\scaler.py,parameter,in_path,param_006
dags\src\scaler.py,parameter,cols,param_018
dags\src\seasonality.py,function_def,seasonality_impacts,feature_engineering_func_005
dags\src\seasonality.py,function_def,calculate_trend,analysis_func_002
dags\src\seasonality.py,standalone_identifier,cancellation_details,feature_engineering_func_001
dags\src\seasonality.py,standalone_identifier,calculate_trend,analysis_func_002
dags\src\seasonality.py,parameter,cancellation_pickle_file,param_019
dags\src\seasonality.py,parameter,output_pickle_path,param_002
dags\src\seasonality.py,parameter,output_pickle_file,param_005
dags\src\seasonality.py,parameter,input_pickle_path,param_001
dags\src\seasonality.py,parameter,input_pickle_file,param_003
dags\src\seasonality.py,parameter,data_filepath,param_020
dags\src\seasonality.py,parameter,customer_data,param_057
dags\src\seasonality.py,parameter,spend_data,param_021
dags\src\seasonality.py,parameter,stats,param_042
dags\src\transaction_status_handler.py,function_def,handle_transaction_status,data_cleaning_func_006
dags\src\transaction_status_handler.py,parameter,output_pickle_path,param_002
dags\src\transaction_status_handler.py,parameter,input_pickle_path,param_001
dags\src\transaction_status_handler.py,parameter,project,param_035
dags\src\unique_products.py,function_def,unique_products,feature_engineering_func_006
dags\src\unique_products.py,standalone_identifier,unique_products,feature_engineering_func_006
dags\src\unique_products.py,parameter,output_pickle_path,param_002
dags\src\unique_products.py,parameter,output_pickle_file,param_005
dags\src\unique_products.py,parameter,input_pickle_path,param_001
dags\src\unique_products.py,parameter,input_pickle_file,param_003
dags\src\unique_products.py,parameter,rfm_pickle_file,param_022
dags\src\unique_products.py,parameter,customer_data,param_057
dags\src\unzip_data.py,import,import zipfile,import module_l1_001
dags\src\unzip_data.py,function_def,unzip_file,data_loader_func_003
dags\src\unzip_data.py,function_call,unzip_file,data_loader_func_003
dags\src\unzip_data.py,parameter,zip_filename,param_023
dags\src\unzip_data.py,parameter,extract_to,param_024
gcpdeploy\src\airflow.py,import,from src.download_data import ingest_data,from module_l2_001 import data_loader_func_002
gcpdeploy\src\airflow.py,import,from src.unzip_data import unzip_file,from module_l2_002 import data_loader_func_003
gcpdeploy\src\airflow.py,import,from src.data_loader import load_data,from module_l2_003 import data_loader_func_001
gcpdeploy\src\airflow.py,import,from src.missing_values_handler import handle_missing,from module_l2_004 import data_cleaning_func_003
gcpdeploy\src\airflow.py,import,from src.duplicates_handler import remove_duplicates,from module_l2_005 import data_cleaning_func_002
gcpdeploy\src\airflow.py,import,from src.transaction_status_handler import handle_transactio,from module_l2_006 import data_cleaning_func_006
gcpdeploy\src\airflow.py,import,from src.anomaly_code_handler import handle_anomalous_codes,from module_l2_007 import data_cleaning_func_001
gcpdeploy\src\airflow.py,import,from src.cleaning_description import cleaning_description,from module_l2_008 import utility_func_001
gcpdeploy\src\airflow.py,import,from src.removing_zero_unitprice import removing_zero,from module_l2_009 import data_cleaning_func_005
gcpdeploy\src\airflow.py,import,from src.rfm import rfm,from module_l2_010 import feature_engineering_func_004
gcpdeploy\src\airflow.py,import,from src.unique_products import unique_products,from module_l2_011 import feature_engineering_func_006
gcpdeploy\src\airflow.py,import,from src.customers_behavior import customers_behavior,from module_l2_012 import feature_engineering_func_002
gcpdeploy\src\airflow.py,import,from src.geographic_features import geographic_features,from module_l2_013 import feature_engineering_func_003
gcpdeploy\src\airflow.py,import,from src.cancellation_details import cancellation_details,from module_l2_014 import feature_engineering_func_001
gcpdeploy\src\airflow.py,import,from src.seasonality import seasonality_impacts,from module_l2_015 import feature_engineering_func_005
gcpdeploy\src\airflow.py,import,from src.outlier_treatment import removing_outlier,from module_l2_016 import data_cleaning_func_004
gcpdeploy\src\airflow.py,import,from src.scaler import scaler,from module_l2_017 import ml_model_func_003
gcpdeploy\src\airflow.py,import,from src.pca import pc_analyzer,from module_l2_018 import ml_model_func_001
gcpdeploy\src\airflow.py,import,from src.correlation import correlation_check,from module_l2_019 import analysis_func_001
gcpdeploy\src\airflow.py,standalone_identifier,handle_transaction_status,data_cleaning_func_006
gcpdeploy\src\airflow.py,standalone_identifier,handle_anomalous_codes,data_cleaning_func_001
gcpdeploy\src\airflow.py,standalone_identifier,cancellation_details,feature_engineering_func_001
gcpdeploy\src\airflow.py,standalone_identifier,cleaning_description,utility_func_001
gcpdeploy\src\airflow.py,standalone_identifier,geographic_features,feature_engineering_func_003
gcpdeploy\src\airflow.py,standalone_identifier,seasonality_impacts,feature_engineering_func_005
gcpdeploy\src\airflow.py,standalone_identifier,customers_behavior,feature_engineering_func_002
gcpdeploy\src\airflow.py,standalone_identifier,correlation_check,analysis_func_001
gcpdeploy\src\airflow.py,standalone_identifier,remove_duplicates,data_cleaning_func_002
gcpdeploy\src\airflow.py,standalone_identifier,removing_outlier,data_cleaning_func_004
gcpdeploy\src\airflow.py,standalone_identifier,unique_products,feature_engineering_func_006
gcpdeploy\src\airflow.py,standalone_identifier,handle_missing,data_cleaning_func_003
gcpdeploy\src\airflow.py,standalone_identifier,removing_zero,data_cleaning_func_005
gcpdeploy\src\airflow.py,standalone_identifier,ingest_data,data_loader_func_002
gcpdeploy\src\airflow.py,standalone_identifier,pc_analyzer,ml_model_func_001
gcpdeploy\src\airflow.py,standalone_identifier,unzip_file,data_loader_func_003
gcpdeploy\src\airflow.py,standalone_identifier,load_data,data_loader_func_001
gcpdeploy\src\airflow.py,standalone_identifier,scaler,ml_model_func_003
gcpdeploy\src\airflow.py,standalone_identifier,rfm,feature_engineering_func_004
gcpdeploy\src\airflow.py,parameter,excel_path,param_012
gcpdeploy\src\airflow.py,parameter,in_path,param_006
gcpdeploy\src\airflow.py,url,url,[URL]
gcpdeploy\src\anomaly_code_handler.py,function_def,handle_anomalous_codes,data_cleaning_func_001
gcpdeploy\src\anomaly_code_handler.py,parameter,output_pickle_path,param_002
gcpdeploy\src\anomaly_code_handler.py,parameter,input_pickle_path,param_001
gcpdeploy\src\anomaly_code_handler.py,parameter,project,param_035
gcpdeploy\src\build.py,function_def,deploy_model_to_endpoint,ml_model_func_004
gcpdeploy\src\build.py,function_def,initialize_aiplatform,utility_func_002
gcpdeploy\src\build.py,function_def,create_training_job,feature_engineering_func_007
gcpdeploy\src\build.py,function_def,run_training_job,pipeline_func_001
gcpdeploy\src\build.py,function_def,main,pipeline_func_002
gcpdeploy\src\build.py,function_call,deploy_model_to_endpoint,ml_model_func_004
gcpdeploy\src\build.py,function_call,initialize_aiplatform,utility_func_002
gcpdeploy\src\build.py,function_call,create_training_job,feature_engineering_func_007
gcpdeploy\src\build.py,function_call,run_training_job,pipeline_func_001
gcpdeploy\src\build.py,function_call,main,pipeline_func_002
gcpdeploy\src\build.py,parameter,model_serving_container_image_uri,param_030
gcpdeploy\src\build.py,parameter,service_account_email,param_033
gcpdeploy\src\build.py,parameter,base_output_dir,param_032
gcpdeploy\src\build.py,parameter,container_uri,param_029
gcpdeploy\src\build.py,parameter,display_name,param_028
gcpdeploy\src\build.py,parameter,project_id,param_025
gcpdeploy\src\build.py,parameter,location,param_038
gcpdeploy\src\build.py,parameter,project,param_035
gcpdeploy\src\build.py,parameter,region,param_026
gcpdeploy\src\build.py,parameter,bucket,param_027
gcpdeploy\src\build.py,parameter,model,param_034
gcpdeploy\src\build.py,parameter,job,param_031
gcpdeploy\src\cancellation_details.py,function_def,cancellation_details,feature_engineering_func_001
gcpdeploy\src\cancellation_details.py,standalone_identifier,cancellation_details,feature_engineering_func_001
gcpdeploy\src\cancellation_details.py,standalone_identifier,geographic_features,feature_engineering_func_003
gcpdeploy\src\cancellation_details.py,parameter,geographic_pickle_file,param_004
gcpdeploy\src\cancellation_details.py,parameter,output_pickle_path,param_002
gcpdeploy\src\cancellation_details.py,parameter,output_pickle_file,param_005
gcpdeploy\src\cancellation_details.py,parameter,input_pickle_path,param_001
gcpdeploy\src\cancellation_details.py,parameter,input_pickle_file,param_003
gcpdeploy\src\cancellation_details.py,parameter,customer_data,param_057
gcpdeploy\src\cleaning_description.py,function_def,cleaning_description,utility_func_001
gcpdeploy\src\cleaning_description.py,parameter,output_pickle_path,param_002
gcpdeploy\src\cleaning_description.py,parameter,input_pickle_path,param_001
gcpdeploy\src\cleaning_description.py,parameter,project,param_035
gcpdeploy\src\correlation.py,import,from prompt_toolkit.shortcuts import yes_no_dialog,from module_l2_020 import yes_no_dialog
gcpdeploy\src\correlation.py,function_def,save_correlations_as_parquet,data_saver_func_002
gcpdeploy\src\correlation.py,function_def,correlation_check,analysis_func_001
gcpdeploy\src\correlation.py,function_def,save_heatmap,data_saver_func_001
gcpdeploy\src\correlation.py,function_call,save_correlations_as_parquet,data_saver_func_002
gcpdeploy\src\correlation.py,function_call,save_heatmap,data_saver_func_001
gcpdeploy\src\correlation.py,parameter,correlation_threshold,param_008
gcpdeploy\src\correlation.py,parameter,cvr_thresh,param_016
gcpdeploy\src\correlation.py,parameter,drop_cols,param_015
gcpdeploy\src\correlation.py,parameter,out_path,param_007
gcpdeploy\src\correlation.py,parameter,location,param_038
gcpdeploy\src\correlation.py,parameter,in_path,param_006
gcpdeploy\src\correlation.py,parameter,figsize,param_048
gcpdeploy\src\correlation.py,parameter,fig,param_009
gcpdeploy\src\customers_behavior.py,function_def,customers_behavior,feature_engineering_func_002
gcpdeploy\src\customers_behavior.py,standalone_identifier,customers_behavior,feature_engineering_func_002
gcpdeploy\src\customers_behavior.py,standalone_identifier,unique_products,feature_engineering_func_006
gcpdeploy\src\customers_behavior.py,parameter,output_pickle_path,param_002
gcpdeploy\src\customers_behavior.py,parameter,output_pickle_file,param_005
gcpdeploy\src\customers_behavior.py,parameter,unique_pickle_file,param_010
gcpdeploy\src\customers_behavior.py,parameter,input_pickle_path,param_001
gcpdeploy\src\customers_behavior.py,parameter,input_pickle_file,param_003
gcpdeploy\src\customers_behavior.py,parameter,customer_data,param_057
gcpdeploy\src\datapipeline.py,import,from download_data import ingest_data,from module_l1_002 import data_loader_func_002
gcpdeploy\src\datapipeline.py,import,from unzip_data import unzip_file,from module_l1_003 import data_loader_func_003
gcpdeploy\src\datapipeline.py,import,from data_loader import load_data,from module_l1_004 import data_loader_func_001
gcpdeploy\src\datapipeline.py,import,from missing_values_handler import handle_missing,from module_l1_005 import data_cleaning_func_003
gcpdeploy\src\datapipeline.py,import,from duplicates_handler import remove_duplicates,from module_l1_006 import data_cleaning_func_002
gcpdeploy\src\datapipeline.py,import,from transaction_status_handler import handle_transaction_st,from module_l1_007 import data_cleaning_func_006
gcpdeploy\src\datapipeline.py,import,from anomaly_code_handler import handle_anomalous_codes,from module_l1_008 import data_cleaning_func_001
gcpdeploy\src\datapipeline.py,function_call,handle_transaction_status,data_cleaning_func_006
gcpdeploy\src\datapipeline.py,function_call,handle_anomalous_codes,data_cleaning_func_001
gcpdeploy\src\datapipeline.py,function_call,remove_duplicates,data_cleaning_func_002
gcpdeploy\src\datapipeline.py,function_call,handle_missing,data_cleaning_func_003
gcpdeploy\src\datapipeline.py,function_call,ingest_data,data_loader_func_002
gcpdeploy\src\datapipeline.py,function_call,unzip_file,data_loader_func_003
gcpdeploy\src\datapipeline.py,function_call,load_data,data_loader_func_001
gcpdeploy\src\datapipeline.py,parameter,input_pickle_path,param_001
gcpdeploy\src\datapipeline.py,parameter,excel_path,param_012
gcpdeploy\src\datapipeline.py,url,url,[URL]
gcpdeploy\src\data_loader.py,function_def,load_data,data_loader_func_001
gcpdeploy\src\data_loader.py,parameter,pickle_path,param_011
gcpdeploy\src\data_loader.py,parameter,excel_path,param_012
gcpdeploy\src\data_loader.py,parameter,project,param_035
gcpdeploy\src\download_data.py,function_def,ingest_data,data_loader_func_002
gcpdeploy\src\download_data.py,function_call,ingest_data,data_loader_func_002
gcpdeploy\src\download_data.py,parameter,file_url,param_013
gcpdeploy\src\download_data.py,url,url,[URL]
gcpdeploy\src\duplicates_handler.py,function_def,remove_duplicates,data_cleaning_func_002
gcpdeploy\src\duplicates_handler.py,parameter,output_pickle_path,param_002
gcpdeploy\src\duplicates_handler.py,parameter,input_pickle_path,param_001
gcpdeploy\src\duplicates_handler.py,parameter,project,param_035
gcpdeploy\src\geographic_features.py,function_def,geographic_features,feature_engineering_func_003
gcpdeploy\src\geographic_features.py,standalone_identifier,geographic_features,feature_engineering_func_003
gcpdeploy\src\geographic_features.py,standalone_identifier,customers_behavior,feature_engineering_func_002
gcpdeploy\src\geographic_features.py,parameter,behavorial_pickle_file,param_014
gcpdeploy\src\geographic_features.py,parameter,output_pickle_path,param_002
gcpdeploy\src\geographic_features.py,parameter,output_pickle_file,param_005
gcpdeploy\src\geographic_features.py,parameter,input_pickle_path,param_001
gcpdeploy\src\geographic_features.py,parameter,input_pickle_file,param_003
gcpdeploy\src\geographic_features.py,parameter,customer_data,param_057
gcpdeploy\src\inference.py,function_def,predict_custom_trained_model,ml_model_func_005
gcpdeploy\src\inference.py,function_call,predict_custom_trained_model,ml_model_func_005
gcpdeploy\src\inference.py,function_call,predict,ml_model_func_011
gcpdeploy\src\inference.py,standalone_identifier,predict,ml_model_func_011
gcpdeploy\src\inference.py,parameter,api_endpoint,param_039
gcpdeploy\src\inference.py,parameter,endpoint_id,param_036
gcpdeploy\src\inference.py,parameter,instances,param_037
gcpdeploy\src\inference.py,parameter,location,param_038
gcpdeploy\src\inference.py,parameter,project,param_035
gcpdeploy\src\inference.py,parameter,client,param_049
gcpdeploy\src\inference.py,parameter,schema,param_051
gcpdeploy\src\inference.py,parameter,model,param_034
gcpdeploy\src\mflow_logging.py,function_def,mlflow_logging_train,ml_model_func_006
gcpdeploy\src\mflow_logging.py,function_call,mlflow_logging_train,ml_model_func_006
gcpdeploy\src\mflow_logging.py,function_call,predict,ml_model_func_011
gcpdeploy\src\mflow_logging.py,parameter,pca_output,param_043
gcpdeploy\src\mflow_logging.py,parameter,data_path,param_040
gcpdeploy\src\mflow_logging.py,parameter,model,param_034
gcpdeploy\src\mflow_logging.py,url,url,[URL]
gcpdeploy\src\missing_values_handler.py,function_def,handle_missing,data_cleaning_func_003
gcpdeploy\src\missing_values_handler.py,parameter,output_pickle_path,param_002
gcpdeploy\src\missing_values_handler.py,parameter,input_pickle_path,param_001
gcpdeploy\src\missing_values_handler.py,parameter,project,param_035
gcpdeploy\src\model_analysis.py,import,import pytz,import module_l1_009
gcpdeploy\src\model_analysis.py,import,import gcsfs,import module_l1_010
gcpdeploy\src\model_analysis.py,import,from tabulate import tabulate,from module_l1_011 import module_l1_011
gcpdeploy\src\model_analysis.py,function_def,save_and_upload_model,data_saver_func_003
gcpdeploy\src\model_analysis.py,function_def,cluster_distribution,ml_model_func_009
gcpdeploy\src\model_analysis.py,function_def,silhouette_analysis,analysis_func_003
gcpdeploy\src\model_analysis.py,function_def,evaluation_metrics,utility_func_003
gcpdeploy\src\model_analysis.py,function_def,normalize_data,data_cleaning_func_007
gcpdeploy\src\model_analysis.py,function_def,data_transform,ml_model_func_007
gcpdeploy\src\model_analysis.py,function_def,train_model,ml_model_func_010
gcpdeploy\src\model_analysis.py,function_def,load_data,data_loader_func_001
gcpdeploy\src\model_analysis.py,function_def,top_pca,ml_model_func_008
gcpdeploy\src\model_analysis.py,function_call,normalize_data,data_cleaning_func_007
gcpdeploy\src\model_analysis.py,function_call,predict,ml_model_func_011
gcpdeploy\src\model_analysis.py,standalone_identifier,scaler,ml_model_func_003
gcpdeploy\src\model_analysis.py,parameter,gcs_train_data_path,param_041
gcpdeploy\src\model_analysis.py,parameter,local_model_path,param_046
gcpdeploy\src\model_analysis.py,parameter,gcs_model_path,param_047
gcpdeploy\src\model_analysis.py,parameter,bucket_name,param_052
gcpdeploy\src\model_analysis.py,parameter,pca_output,param_043
gcpdeploy\src\model_analysis.py,parameter,X_train,param_044
gcpdeploy\src\model_analysis.py,parameter,y_train,param_045
gcpdeploy\src\model_analysis.py,parameter,figsize,param_048
gcpdeploy\src\model_analysis.py,parameter,bucket,param_027
gcpdeploy\src\model_analysis.py,parameter,client,param_049
gcpdeploy\src\model_analysis.py,parameter,model,param_034
gcpdeploy\src\model_analysis.py,parameter,stats,param_042
gcpdeploy\src\model_analysis.py,parameter,fig,param_009
gcpdeploy\src\outlier_treatment.py,function_def,removing_outlier,data_cleaning_func_004
gcpdeploy\src\outlier_treatment.py,parameter,output_pickle_path,param_002
gcpdeploy\src\outlier_treatment.py,parameter,input_pickle_path,param_001
gcpdeploy\src\outlier_treatment.py,parameter,df_cleaned,param_060
gcpdeploy\src\outlier_treatment.py,parameter,project,param_035
gcpdeploy\src\outlier_treatment.py,parameter,model,param_034
gcpdeploy\src\pca.py,import,from prompt_toolkit.shortcuts import yes_no_dialog,from module_l2_020 import yes_no_dialog
gcpdeploy\src\pca.py,function_def,pc_analyzer,ml_model_func_001
gcpdeploy\src\pca.py,function_def,pca_,ml_model_func_002
gcpdeploy\src\pca.py,function_call,pca_,ml_model_func_002
